t, r_ref, qr_ref, r_act, qr_act, tau[0], tau[1]
0.000000, 0.353600, 1.570796, 0.353553, 1.570796, 0.863387, -0.863387
0.002500, 0.353600, 1.570796, 0.353565, 1.570789, 0.207851, -0.087279
0.005000, 0.353600, 1.570796, 0.353577, 1.570792, -0.055609, 0.162724
0.007500, 0.353600, 1.570796, 0.353584, 1.570794, -0.203595, -0.025017
0.010000, 0.353600, 1.570796, 0.353588, 1.570795, -0.064419, 0.051343
0.012500, 0.353600, 1.570796, 0.353573, 1.570793, 0.354492, -0.201704
0.015000, 0.353600, 1.570796, 0.353453, 1.570796, 1.679113, -1.868294
0.017500, 0.353600, 1.570796, 0.353229, 1.570801, 3.348066, -3.742001
0.020000, 0.353600, 1.570796, 0.352916, 1.570807, 5.007143, -5.456715
0.022500, 0.353600, 1.570796, 0.352533, 1.570814, 6.421721, -6.995846
0.025000, 0.353600, 1.570796, 0.352103, 1.570823, 7.500825, -8.325678
0.027500, 0.353600, 1.570796, 0.351642, 1.570837, 8.301430, -9.437246
0.030000, 0.353600, 1.570796, 0.351166, 1.570853, 8.904723, -10.357468
0.032500, 0.353600, 1.570796, 0.350680, 1.570872, 9.419724, -11.148614
0.035000, 0.353600, 1.570796, 0.350184, 1.570892, 9.958601, -11.896546
0.037500, 0.353600, 1.570796, 0.349676, 1.570912, 10.596019, -12.653468
0.040000, 0.353600, 1.570796, 0.349152, 1.570931, 11.317688, -13.423563
0.042500, 0.353600, 1.570796, 0.348612, 1.570950, 12.078367, -14.200941
0.045000, 0.353600, 1.570796, 0.348059, 1.570967, 12.819846, -14.966585
0.047500, 0.353600, 1.570796, 0.347497, 1.570984, 13.480659, -15.673153
0.050000, 0.353600, 1.570796, 0.346935, 1.571001, 14.016353, -16.288720
0.052500, 0.353600, 1.570796, 0.346378, 1.571018, 14.440641, -16.814555
0.055000, 0.353600, 1.570796, 0.345831, 1.571035, 14.775926, -17.272105
0.057500, 0.353600, 1.570796, 0.345297, 1.571053, 15.051865, -17.671457
0.060000, 0.353600, 1.570796, 0.344776, 1.571071, 15.319316, -18.040273
0.062500, 0.353600, 1.570796, 0.344265, 1.571089, 15.619664, -18.406581
0.065000, 0.353600, 1.570796, 0.343762, 1.571105, 15.967590, -18.784771
0.067500, 0.353600, 1.570796, 0.343266, 1.571121, 16.333775, -19.161386
0.070000, 0.353600, 1.570796, 0.342777, 1.571136, 16.692246, -19.529357
0.072500, 0.353600, 1.570796, 0.342296, 1.571150, 17.032189, -19.883121
0.075000, 0.353600, 1.570796, 0.341824, 1.571164, 17.332145, -20.208522
0.077500, 0.353600, 1.570796, 0.341364, 1.571177, 17.581962, -20.494366
0.080000, 0.353600, 1.570796, 0.340917, 1.571189, 17.795012, -20.745531
0.082500, 0.353600, 1.570796, 0.340485, 1.571202, 17.969375, -20.968193
0.085000, 0.353600, 1.570796, 0.340069, 1.571214, 18.104303, -21.157529
0.087500, 0.353600, 1.570796, 0.339670, 1.571227, 18.216662, -21.319737
0.090000, 0.353600, 1.570796, 0.339287, 1.571238, 18.326261, -21.466483
0.092500, 0.353600, 1.570796, 0.338918, 1.571250, 18.446205, -21.607486
0.095000, 0.353600, 1.570796, 0.338563, 1.571260, 18.578331, -21.746240
0.097500, 0.353600, 1.570796, 0.338220, 1.571270, 18.709254, -21.875892
0.100000, 0.353600, 1.570796, 0.337891, 1.571280, 18.825548, -21.991254
0.102500, 0.353600, 1.570796, 0.337576, 1.571288, 18.923239, -22.090688
0.105000, 0.353600, 1.570796, 0.337274, 1.571296, 19.001618, -22.173471
0.107500, 0.353600, 1.570796, 0.336987, 1.571304, 19.061084, -22.239505
0.110000, 0.353600, 1.570796, 0.336714, 1.571312, 19.098525, -22.288195
0.112500, 0.353600, 1.570796, 0.336457, 1.571319, 19.112712, -22.316551
0.115000, 0.353600, 1.570796, 0.336215, 1.571325, 19.110449, -22.326951
0.117500, 0.353600, 1.570796, 0.335988, 1.571332, 19.101118, -22.324810
0.120000, 0.353600, 1.570796, 0.335775, 1.571338, 19.092305, -22.315456
0.122500, 0.353600, 1.570796, 0.335576, 1.571343, 19.087175, -22.302152
0.125000, 0.353600, 1.570796, 0.335390, 1.571348, 19.083455, -22.285239
0.127500, 0.353600, 1.570796, 0.335215, 1.571353, 19.073593, -22.261872
0.130000, 0.353600, 1.570796, 0.335054, 1.571357, 19.053804, -22.229495
0.132500, 0.353600, 1.570796, 0.334904, 1.571360, 19.023626, -22.187357
0.135000, 0.353600, 1.570796, 0.334766, 1.571363, 18.982745, -22.134029
0.137500, 0.353600, 1.570796, 0.334641, 1.571366, 18.929452, -22.068914
0.140000, 0.353600, 1.570796, 0.334528, 1.571369, 18.865920, -21.993642
0.142500, 0.353600, 1.570796, 0.334427, 1.571371, 18.796739, -21.911095
0.145000, 0.353600, 1.570796, 0.334337, 1.571373, 18.726436, -21.824368
0.147500, 0.353600, 1.570796, 0.334258, 1.571374, 18.657763, -21.735776
0.150000, 0.353600, 1.570796, 0.334189, 1.571375, 18.590866, -21.646297
0.152500, 0.353600, 1.570796, 0.334129, 1.571376, 18.521812, -21.556268
0.155000, 0.353600, 1.570796, 0.334078, 1.571376, 18.448072, -21.463907
0.157500, 0.353600, 1.570796, 0.334036, 1.571377, 18.369820, -21.368001
0.160000, 0.353600, 1.570796, 0.334003, 1.571377, 18.283466, -21.280191
0.162500, 0.353600, 1.570796, 0.333976, 1.571377, 18.198848, -21.200291
0.165000, 0.353600, 1.570796, 0.333957, 1.571377, 18.125755, -21.118557
0.167500, 0.353600, 1.570796, 0.333943, 1.571377, 18.062345, -21.035186
0.170000, 0.353600, 1.570796, 0.333935, 1.571376, 18.002462, -20.950045
0.172500, 0.353600, 1.570796, 0.333933, 1.571375, 17.951048, -20.852309
0.175000, 0.353600, 1.570796, 0.333935, 1.571374, 17.903706, -20.746481
0.177500, 0.353600, 1.570796, 0.333943, 1.571371, 17.852398, -20.642633
0.180000, 0.353600, 1.570796, 0.333955, 1.571369, 17.795868, -20.542983
0.182500, 0.353600, 1.570796, 0.333972, 1.571365, 17.747011, -20.433260
0.185000, 0.353600, 1.570796, 0.333993, 1.571361, 17.718505, -20.300338
0.187500, 0.353600, 1.570796, 0.334018, 1.571355, 17.704113, -20.153258
0.190000, 0.353600, 1.570796, 0.334047, 1.571348, 17.693040, -20.005775
0.192500, 0.353600, 1.570796, 0.334079, 1.571339, 17.677965, -19.866994
0.195000, 0.353600, 1.570796, 0.334114, 1.571330, 17.646695, -19.751470
0.197500, 0.353600, 1.570796, 0.334151, 1.571322, 17.587582, -19.671055
0.200000, 0.353600, 1.570796, 0.334191, 1.571314, 17.519345, -19.602766
0.202500, 0.353600, 1.570796, 0.334233, 1.571307, 17.456869, -19.529351
0.205000, 0.353600, 1.570796, 0.334276, 1.571300, 17.400158, -19.451500
0.207500, 0.353600, 1.570796, 0.334321, 1.571293, 17.345861, -19.373857
0.210000, 0.353600, 1.570796, 0.334368, 1.571286, 17.293212, -19.297931
0.212500, 0.353600, 1.570796, 0.334416, 1.571279, 17.242941, -19.223403
0.215000, 0.353600, 1.570796, 0.334465, 1.571272, 17.195528, -19.150174
0.217500, 0.353600, 1.570796, 0.334515, 1.571266, 17.150977, -19.078612
0.220000, 0.353600, 1.570796, 0.334565, 1.571259, 17.109169, -19.009127
0.222500, 0.353600, 1.570796, 0.334616, 1.571253, 17.070024, -18.941984
0.225000, 0.353600, 1.570796, 0.334667, 1.571246, 17.033479, -18.877340
0.227500, 0.353600, 1.570796, 0.334718, 1.571240, 16.999446, -18.815311
0.230000, 0.353600, 1.570796, 0.334769, 1.571234, 16.967821, -18.755984
0.232500, 0.353600, 1.570796, 0.334819, 1.571228, 16.938500, -18.699404
0.235000, 0.353600, 1.570796, 0.334869, 1.571222, 16.911393, -18.645589
0.237500, 0.353600, 1.570796, 0.334919, 1.571216, 16.886425, -18.594531
0.240000, 0.353600, 1.570796, 0.334968, 1.571210, 16.863537, -18.546210
