t, r_ref, qr_ref, r_act, qr_act, tau[0], tau[1]
0.000000, 0.353600, 1.570796, 0.353553, 1.570796, 0.863387, -0.863387
0.002500, 0.353600, 1.570796, 0.353565, 1.570790, 0.181991, -0.112545
0.005000, 0.353600, 1.570796, 0.353578, 1.570792, -0.018897, 0.219218
0.007500, 0.353600, 1.570796, 0.353584, 1.570796, -0.267847, -0.091945
0.010000, 0.353600, 1.570796, 0.353588, 1.570793, 0.032908, 0.142552
0.012500, 0.353600, 1.570796, 0.353580, 1.570792, 0.202871, -0.115692
0.015000, 0.353600, 1.570796, 0.353485, 1.570801, 1.121367, -1.671352
0.017500, 0.353600, 1.570796, 0.353312, 1.570814, 2.220162, -3.253420
0.020000, 0.353600, 1.570796, 0.353077, 1.570830, 3.302819, -4.581945
0.022500, 0.353600, 1.570796, 0.352786, 1.570846, 4.406769, -5.817090
0.025000, 0.353600, 1.570796, 0.352439, 1.570861, 5.596941, -7.057193
0.027500, 0.353600, 1.570796, 0.352035, 1.570876, 6.856934, -8.295958
0.030000, 0.353600, 1.570796, 0.351580, 1.570888, 8.137332, -9.501856
0.032500, 0.353600, 1.570796, 0.351082, 1.570898, 9.344154, -10.638649
0.035000, 0.353600, 1.570796, 0.350551, 1.570908, 10.374867, -11.663051
0.037500, 0.353600, 1.570796, 0.350004, 1.570918, 11.184305, -12.535137
0.040000, 0.353600, 1.570796, 0.349449, 1.570929, 11.806361, -13.266333
0.042500, 0.353600, 1.570796, 0.348896, 1.570940, 12.294265, -13.884615
0.045000, 0.353600, 1.570796, 0.348348, 1.570953, 12.706374, -14.434992
0.047500, 0.353600, 1.570796, 0.347804, 1.570966, 13.128397, -14.954616
0.050000, 0.353600, 1.570796, 0.347262, 1.570979, 13.613602, -15.480448
0.052500, 0.353600, 1.570796, 0.346719, 1.570991, 14.148332, -16.024143
0.055000, 0.353600, 1.570796, 0.346174, 1.571002, 14.712369, -16.572221
0.057500, 0.353600, 1.570796, 0.345627, 1.571012, 15.280228, -17.118235
0.060000, 0.353600, 1.570796, 0.345081, 1.571021, 15.804811, -17.637148
0.062500, 0.353600, 1.570796, 0.344540, 1.571030, 16.247451, -18.103689
0.065000, 0.353600, 1.570796, 0.344008, 1.571039, 16.595579, -18.506099
0.067500, 0.353600, 1.570796, 0.343490, 1.571049, 16.880319, -18.860147
0.070000, 0.353600, 1.570796, 0.342985, 1.571058, 17.129287, -19.174905
0.072500, 0.353600, 1.570796, 0.342495, 1.571068, 17.354824, -19.457711
