t, r_ref, qr_ref, r_act, qr_act, tau[0], tau[1]
0.000000, 0.353600, 1.570796, 0.353553, 1.570796, 0.863387, -0.863387
0.002500, 0.353600, 1.570796, 0.353565, 1.570790, 0.178562, -0.114465
0.005000, 0.353600, 1.570796, 0.353577, 1.570792, -0.023897, 0.198478
0.007500, 0.353600, 1.570796, 0.353584, 1.570795, -0.239349, -0.063182
0.010000, 0.353600, 1.570796, 0.353588, 1.570794, -0.027641, 0.089069
0.012500, 0.353600, 1.570796, 0.353583, 1.570793, 0.142695, -0.066800
0.015000, 0.353600, 1.570796, 0.353485, 1.570799, 1.281414, -1.619179
0.017500, 0.353600, 1.570796, 0.353278, 1.570806, 2.962651, -3.498421
0.020000, 0.353600, 1.570796, 0.352978, 1.570812, 4.678456, -5.255438
0.022500, 0.353600, 1.570796, 0.352604, 1.570820, 6.151124, -6.841360
0.025000, 0.353600, 1.570796, 0.352178, 1.570831, 7.282138, -8.215096
0.027500, 0.353600, 1.570796, 0.351720, 1.570845, 8.132437, -9.371123
0.030000, 0.353600, 1.570796, 0.351243, 1.570862, 8.786664, -10.339389
0.032500, 0.353600, 1.570796, 0.350752, 1.570882, 9.357338, -11.185610
0.035000, 0.353600, 1.570796, 0.350249, 1.570902, 9.956615, -11.995650
0.037500, 0.353600, 1.570796, 0.349728, 1.570923, 10.661424, -12.824082
0.040000, 0.353600, 1.570796, 0.349188, 1.570943, 11.456685, -13.673996
0.042500, 0.353600, 1.570796, 0.348628, 1.570962, 12.295684, -14.537590
0.045000, 0.353600, 1.570796, 0.348050, 1.570980, 13.122608, -15.397769
0.047500, 0.353600, 1.570796, 0.347459, 1.570998, 13.869939, -16.200357
0.050000, 0.353600, 1.570796, 0.346864, 1.571016, 14.490433, -16.910147
0.052500, 0.353600, 1.570796, 0.346271, 1.571034, 14.998486, -17.529210
0.055000, 0.353600, 1.570796, 0.345684, 1.571052, 15.416799, -18.079393
0.057500, 0.353600, 1.570796, 0.345106, 1.571071, 15.776463, -18.572490
0.060000, 0.353600, 1.570796, 0.344538, 1.571091, 16.129887, -19.038152
0.062500, 0.353600, 1.570796, 0.343978, 1.571110, 16.519208, -19.505493
0.065000, 0.353600, 1.570796, 0.343422, 1.571128, 16.958910, -19.988801
0.067500, 0.353600, 1.570796, 0.342869, 1.571145, 17.418411, -20.473067
0.070000, 0.353600, 1.570796, 0.342320, 1.571161, 17.870375, -20.949567
0.072500, 0.353600, 1.570796, 0.341776, 1.571177, 18.303535, -21.412174
0.075000, 0.353600, 1.570796, 0.341238, 1.571192, 18.695886, -21.845976
0.077500, 0.353600, 1.570796, 0.340710, 1.571207, 19.037282, -22.239691
0.080000, 0.353600, 1.570796, 0.340192, 1.571222, 19.341560, -22.598780
0.082500, 0.353600, 1.570796, 0.339687, 1.571236, 19.606212, -22.928750
0.085000, 0.353600, 1.570796, 0.339196, 1.571251, 19.830659, -23.224917
0.087500, 0.353600, 1.570796, 0.338719, 1.571265, 20.032310, -23.494167
0.090000, 0.353600, 1.570796, 0.338256, 1.571279, 20.231312, -23.748666
0.092500, 0.353600, 1.570796, 0.337806, 1.571293, 20.440772, -23.998223
0.095000, 0.353600, 1.570796, 0.337368, 1.571306, 20.662223, -24.245992
0.097500, 0.353600, 1.570796, 0.336941, 1.571319, 20.881723, -24.484362
0.100000, 0.353600, 1.570796, 0.336525, 1.571331, 21.085236, -24.707330
0.102500, 0.353600, 1.570796, 0.336122, 1.571342, 21.268567, -24.912936
0.105000, 0.353600, 1.570796, 0.335732, 1.571353, 21.430938, -25.100326
0.107500, 0.353600, 1.570796, 0.335355, 1.571364, 21.572716, -25.269315
0.110000, 0.353600, 1.570796, 0.334992, 1.571374, 21.690581, -25.419006
0.112500, 0.353600, 1.570796, 0.334643, 1.571384, 21.783377, -25.546404
0.115000, 0.353600, 1.570796, 0.334309, 1.571394, 21.858112, -25.654104
0.117500, 0.353600, 1.570796, 0.333991, 1.571403, 21.924303, -25.747712
0.120000, 0.353600, 1.570796, 0.333686, 1.571412, 21.989551, -25.832604
0.122500, 0.353600, 1.570796, 0.333394, 1.571421, 22.056904, -25.911904
0.125000, 0.353600, 1.570796, 0.333115, 1.571429, 22.123847, -25.985626
0.127500, 0.353600, 1.570796, 0.332849, 1.571437, 22.182510, -26.050458
0.130000, 0.353600, 1.570796, 0.332595, 1.571444, 22.229021, -26.103648
0.132500, 0.353600, 1.570796, 0.332354, 1.571451, 22.262917, -26.144383
0.135000, 0.353600, 1.570796, 0.332126, 1.571458, 22.283946, -26.171230
0.137500, 0.353600, 1.570796, 0.331911, 1.571464, 22.290327, -26.183449
0.140000, 0.353600, 1.570796, 0.331709, 1.571470, 22.284244, -26.182660
0.142500, 0.353600, 1.570796, 0.331520, 1.571475, 22.270343, -26.171816
0.145000, 0.353600, 1.570796, 0.331343, 1.571480, 22.253177, -26.154062
0.147500, 0.353600, 1.570796, 0.331179, 1.571485, 22.235470, -26.131683
0.150000, 0.353600, 1.570796, 0.331025, 1.571489, 22.217281, -26.105544
0.152500, 0.353600, 1.570796, 0.330883, 1.571493, 22.194414, -26.075645
0.155000, 0.353600, 1.570796, 0.330751, 1.571497, 22.164319, -26.040115
0.157500, 0.353600, 1.570796, 0.330629, 1.571500, 22.127186, -25.997700
0.160000, 0.353600, 1.570796, 0.330518, 1.571504, 22.075754, -25.955814
0.162500, 0.353600, 1.570796, 0.330417, 1.571507, 22.016629, -25.910346
0.165000, 0.353600, 1.570796, 0.330326, 1.571510, 21.960844, -25.852747
0.167500, 0.353600, 1.570796, 0.330245, 1.571512, 21.907894, -25.784732
0.170000, 0.353600, 1.570796, 0.330173, 1.571514, 21.854606, -25.709688
0.172500, 0.353600, 1.570796, 0.330109, 1.571516, 21.809905, -25.621399
0.175000, 0.353600, 1.570796, 0.330054, 1.571516, 21.769396, -25.524535
0.177500, 0.353600, 1.570796, 0.330007, 1.571516, 21.723473, -25.427540
0.180000, 0.353600, 1.570796, 0.329967, 1.571516, 21.670382, -25.332093
0.182500, 0.353600, 1.570796, 0.329935, 1.571514, 21.626326, -25.227635
0.185000, 0.353600, 1.570796, 0.329910, 1.571512, 21.608053, -25.105753
0.187500, 0.353600, 1.570796, 0.329890, 1.571507, 21.608653, -24.974849
0.190000, 0.353600, 1.570796, 0.329876, 1.571502, 21.615222, -24.846454
0.192500, 0.353600, 1.570796, 0.329866, 1.571495, 21.618624, -24.727716
0.195000, 0.353600, 1.570796, 0.329861, 1.571488, 21.603014, -24.629099
0.197500, 0.353600, 1.570796, 0.329860, 1.571481, 21.552096, -24.557177
0.200000, 0.353600, 1.570796, 0.329863, 1.571474, 21.487227, -24.491574
0.202500, 0.353600, 1.570796, 0.329871, 1.571468, 21.426052, -24.417918
0.205000, 0.353600, 1.570796, 0.329883, 1.571462, 21.368764, -24.337159
0.207500, 0.353600, 1.570796, 0.329899, 1.571455, 21.311594, -24.253578
0.210000, 0.353600, 1.570796, 0.329919, 1.571449, 21.253804, -24.168770
0.212500, 0.353600, 1.570796, 0.329942, 1.571443, 21.196389, -24.082746
0.215000, 0.353600, 1.570796, 0.329969, 1.571437, 21.140034, -23.995662
0.217500, 0.353600, 1.570796, 0.329999, 1.571431, 21.084849, -23.908041
