t, r_ref, qr_ref, r_act, qr_act, tau[0], tau[1]
0.000000, 0.353600, 1.570796, 0.353553, 1.570796, 0.863387, -0.863387
0.002500, 0.353600, 1.570796, 0.353565, 1.570791, 0.153865, -0.138697
0.005000, 0.353600, 1.570796, 0.353578, 1.570791, 0.021646, 0.264106
0.007500, 0.353600, 1.570796, 0.353584, 1.570797, -0.307791, -0.137024
0.010000, 0.353600, 1.570796, 0.353588, 1.570792, 0.086764, 0.194252
0.012500, 0.353600, 1.570796, 0.353586, 1.570794, 0.008005, -0.091588
0.015000, 0.353600, 1.570796, 0.353509, 1.570805, 0.733505, -1.521242
0.017500, 0.353600, 1.570796, 0.353352, 1.570822, 1.832249, -3.080479
0.020000, 0.353600, 1.570796, 0.353130, 1.570839, 2.965626, -4.431222
0.022500, 0.353600, 1.570796, 0.352847, 1.570857, 4.132428, -5.707464
0.025000, 0.353600, 1.570796, 0.352503, 1.570873, 5.390964, -7.001227
0.027500, 0.353600, 1.570796, 0.352099, 1.570888, 6.724118, -8.304197
0.030000, 0.353600, 1.570796, 0.351638, 1.570901, 8.081315, -9.582393
0.032500, 0.353600, 1.570796, 0.351130, 1.570912, 9.366374, -10.796067
0.035000, 0.353600, 1.570796, 0.350585, 1.570923, 10.478467, -11.902432
0.037500, 0.353600, 1.570796, 0.350019, 1.570934, 11.367306, -12.855677
0.040000, 0.353600, 1.570796, 0.349442, 1.570945, 12.066724, -13.666945
0.042500, 0.353600, 1.570796, 0.348863, 1.570958, 12.631442, -14.365662
0.045000, 0.353600, 1.570796, 0.348286, 1.570971, 13.118760, -14.995693
0.047500, 0.353600, 1.570796, 0.347710, 1.570985, 13.619731, -15.599943
0.050000, 0.353600, 1.570796, 0.347131, 1.570999, 14.189455, -16.217394
0.052500, 0.353600, 1.570796, 0.346548, 1.571012, 14.812321, -16.857543
0.055000, 0.353600, 1.570796, 0.345959, 1.571024, 15.467318, -17.505975
0.057500, 0.353600, 1.570796, 0.345365, 1.571035, 16.127481, -18.154566
0.060000, 0.353600, 1.570796, 0.344768, 1.571045, 16.744028, -18.776320
0.062500, 0.353600, 1.570796, 0.344173, 1.571055, 17.277279, -19.344732
0.065000, 0.353600, 1.570796, 0.343585, 1.571065, 17.714597, -19.847904
0.067500, 0.353600, 1.570796, 0.343007, 1.571076, 18.088194, -20.302866
0.070000, 0.353600, 1.570796, 0.342440, 1.571087, 18.426852, -20.720020
0.072500, 0.353600, 1.570796, 0.341885, 1.571098, 18.743097, -21.106937
0.075000, 0.353600, 1.570796, 0.341341, 1.571109, 19.060082, -21.479804
0.077500, 0.353600, 1.570796, 0.340808, 1.571120, 19.388990, -21.851068
0.080000, 0.353600, 1.570796, 0.340285, 1.571131, 19.716969, -22.216329
0.082500, 0.353600, 1.570796, 0.339771, 1.571141, 20.047524, -22.571035
0.085000, 0.353600, 1.570796, 0.339265, 1.571151, 20.382145, -22.920836
0.087500, 0.353600, 1.570796, 0.338769, 1.571160, 20.704310, -23.259778
0.090000, 0.353600, 1.570796, 0.338283, 1.571169, 20.994787, -23.576587
0.092500, 0.353600, 1.570796, 0.337809, 1.571178, 21.241394, -23.862332
0.095000, 0.353600, 1.570796, 0.337349, 1.571187, 21.443524, -24.114750
0.097500, 0.353600, 1.570796, 0.336904, 1.571197, 21.616020, -24.342355
0.100000, 0.353600, 1.570796, 0.336473, 1.571206, 21.773817, -24.552063
0.102500, 0.353600, 1.570796, 0.336057, 1.571215, 21.922009, -24.746750
0.105000, 0.353600, 1.570796, 0.335656, 1.571224, 22.062290, -24.928183
0.107500, 0.353600, 1.570796, 0.335268, 1.571233, 22.195222, -25.097458
0.110000, 0.353600, 1.570796, 0.334894, 1.571242, 22.325058, -25.256382
0.112500, 0.353600, 1.570796, 0.334534, 1.571250, 22.453871, -25.408878
0.115000, 0.353600, 1.570796, 0.334185, 1.571258, 22.575585, -25.553280
0.117500, 0.353600, 1.570796, 0.333850, 1.571266, 22.681629, -25.684905
0.120000, 0.353600, 1.570796, 0.333529, 1.571274, 22.765348, -25.799295
0.122500, 0.353600, 1.570796, 0.333221, 1.571282, 22.824638, -25.894241
0.125000, 0.353600, 1.570796, 0.332928, 1.571290, 22.862940, -25.970641
0.127500, 0.353600, 1.570796, 0.332650, 1.571297, 22.889035, -26.032716
0.130000, 0.353600, 1.570796, 0.332386, 1.571305, 22.907693, -26.084127
0.132500, 0.353600, 1.570796, 0.332136, 1.571312, 22.920275, -26.126589
0.135000, 0.353600, 1.570796, 0.331900, 1.571320, 22.927924, -26.162426
0.137500, 0.353600, 1.570796, 0.331676, 1.571327, 22.933308, -26.193255
0.140000, 0.353600, 1.570796, 0.331465, 1.571334, 22.935120, -26.218332
0.142500, 0.353600, 1.570796, 0.331266, 1.571341, 22.929580, -26.235570
0.145000, 0.353600, 1.570796, 0.331079, 1.571347, 22.912992, -26.242678
0.147500, 0.353600, 1.570796, 0.330904, 1.571354, 22.883471, -26.238207
0.150000, 0.353600, 1.570796, 0.330742, 1.571360, 22.841782, -26.222114
0.152500, 0.353600, 1.570796, 0.330592, 1.571367, 22.792922, -26.195199
0.155000, 0.353600, 1.570796, 0.330454, 1.571373, 22.740211, -26.160134
0.157500, 0.353600, 1.570796, 0.330327, 1.571379, 22.683450, -26.119642
0.160000, 0.353600, 1.570796, 0.330212, 1.571385, 22.614565, -26.081984
0.162500, 0.353600, 1.570796, 0.330107, 1.571391, 22.535536, -26.047688
0.165000, 0.353600, 1.570796, 0.330012, 1.571397, 22.456273, -26.009120
0.167500, 0.353600, 1.570796, 0.329928, 1.571403, 22.376947, -25.965399
0.170000, 0.353600, 1.570796, 0.329852, 1.571410, 22.291948, -25.920247
0.172500, 0.353600, 1.570796, 0.329786, 1.571416, 22.210290, -25.864040
0.175000, 0.353600, 1.570796, 0.329728, 1.571422, 22.134326, -25.794217
0.177500, 0.353600, 1.570796, 0.329680, 1.571427, 22.058094, -25.716697
0.180000, 0.353600, 1.570796, 0.329639, 1.571432, 21.979737, -25.634273
0.182500, 0.353600, 1.570796, 0.329606, 1.571437, 21.915671, -25.538399
0.185000, 0.353600, 1.570796, 0.329581, 1.571440, 21.885048, -25.419238
0.187500, 0.353600, 1.570796, 0.329561, 1.571441, 21.878455, -25.286145
0.190000, 0.353600, 1.570796, 0.329547, 1.571440, 21.881025, -25.151708
0.192500, 0.353600, 1.570796, 0.329538, 1.571437, 21.881812, -25.024153
0.195000, 0.353600, 1.570796, 0.329534, 1.571434, 21.856970, -24.917960
0.197500, 0.353600, 1.570796, 0.329535, 1.571431, 21.793435, -24.840591
0.200000, 0.353600, 1.570796, 0.329541, 1.571428, 21.715494, -24.771703
0.202500, 0.353600, 1.570796, 0.329551, 1.571426, 21.641099, -24.696885
0.205000, 0.353600, 1.570796, 0.329566, 1.571424, 21.570299, -24.616779
0.207500, 0.353600, 1.570796, 0.329585, 1.571421, 21.499035, -24.535411
0.210000, 0.353600, 1.570796, 0.329608, 1.571419, 21.426289, -24.454121
0.212500, 0.353600, 1.570796, 0.329635, 1.571416, 21.352898, -24.372580
0.215000, 0.353600, 1.570796, 0.329666, 1.571414, 21.279524, -24.290544
0.217500, 0.353600, 1.570796, 0.329700, 1.571412, 21.206360, -24.208146
0.220000, 0.353600, 1.570796, 0.329737, 1.571410, 21.133524, -24.125589
0.222500, 0.353600, 1.570796, 0.329777, 1.571407, 21.061232, -24.043000
0.225000, 0.353600, 1.570796, 0.329820, 1.571405, 20.989752, -23.960474
0.227500, 0.353600, 1.570796, 0.329865, 1.571403, 20.919333, -23.878126
0.230000, 0.353600, 1.570796, 0.329913, 1.571401, 20.850197, -23.796090
0.232500, 0.353600, 1.570796, 0.329963, 1.571398, 20.782536, -23.714514
0.235000, 0.353600, 1.570796, 0.330015, 1.571396, 20.716518, -23.633542
0.237500, 0.353600, 1.570796, 0.330068, 1.571394, 20.652279, -23.553316
0.240000, 0.353600, 1.570796, 0.330123, 1.571391, 20.589923, -23.473973
0.242500, 0.353600, 1.570796, 0.330180, 1.571389, 20.529521, -23.395636
0.245000, 0.353600, 1.570796, 0.330237, 1.571386, 20.471118, -23.318419
0.247500, 0.353600, 1.570796, 0.330296, 1.571383, 20.414735, -23.242421
0.250000, 0.353600, 1.570796, 0.330355, 1.571381, 20.360373, -23.167729
0.252500, 0.353600, 1.570796, 0.330415, 1.571378, 20.308022, -23.094415
0.255000, 0.353600, 1.570796, 0.330475, 1.571375, 20.257662, -23.022542
0.257500, 0.353600, 1.570796, 0.330536, 1.571372, 20.209268, -22.952166
0.260000, 0.353600, 1.570796, 0.330597, 1.571369, 20.162815, -22.883332
0.262500, 0.353600, 1.570796, 0.330658, 1.571366, 20.118278, -22.816082
0.265000, 0.353600, 1.570796, 0.330719, 1.571362, 20.075635, -22.750454
0.267500, 0.353600, 1.570796, 0.330779, 1.571359, 20.034867, -22.686481
0.270000, 0.353600, 1.570796, 0.330840, 1.571356, 19.995956, -22.624193
0.272500, 0.353600, 1.570796, 0.330900, 1.571352, 19.958886, -22.563620
0.275000, 0.353600, 1.570796, 0.330960, 1.571349, 19.923644, -22.504786
0.277500, 0.353600, 1.570796, 0.331018, 1.571345, 19.890214, -22.447712
0.280000, 0.353600, 1.570796, 0.331077, 1.571341, 19.858579, -22.392417
0.282500, 0.353600, 1.570796, 0.331134, 1.571338, 19.828720, -22.338915
0.285000, 0.353600, 1.570796, 0.331191, 1.571334, 19.800615, -22.287216
0.287500, 0.353600, 1.570796, 0.331247, 1.571330, 19.774238, -22.237326
0.290000, 0.353600, 1.570796, 0.331302, 1.571326, 19.749559, -22.189244
0.292500, 0.353600, 1.570796, 0.331356, 1.571322, 19.726546, -22.142968
0.295000, 0.353600, 1.570796, 0.331409, 1.571318, 19.705163, -22.098490
0.297500, 0.353600, 1.570796, 0.331460, 1.571314, 19.685370, -22.055799
0.300000, 0.353600, 1.570796, 0.331511, 1.571310, 19.667388, -22.014667
0.302500, 0.353600, 1.570796, 0.331560, 1.571306, 19.652763, -21.973787
0.305000, 0.353600, 1.570796, 0.331608, 1.571302, 19.640015, -21.934408
0.307500, 0.353600, 1.570796, 0.331655, 1.571298, 19.627440, -21.897956
0.310000, 0.353600, 1.570796, 0.331701, 1.571293, 19.615560, -21.863925
