t,touch_FL, touch_FR, touch_RL, touch_RR
0.000000, 0.000000, 0.000000, 0.000000, 0.000000 
0.002500, 0.000000, 0.000000, 0.000000, 0.000000 
0.005000, 0.000000, 0.000000, 0.000000, 0.000000 
0.007500, 0.000000, 0.000000, 0.000000, 0.000000 
0.010000, 0.000000, 0.000000, 0.000000, 0.000000 
0.012500, 16.573865, 15.252402, 15.186917, 14.299705 
0.015000, 26.927553, 22.686745, 24.757403, 20.930939 
0.017500, 38.584133, 30.974630, 36.490207, 29.236319 
0.020000, 49.186176, 38.851385, 47.388941, 37.400816 
0.022500, 57.890474, 46.720434, 56.398767, 45.650498 
0.025000, 64.629214, 54.766732, 63.438032, 54.129946 
0.027500, 69.712375, 62.818510, 68.817570, 62.665923 
0.030000, 73.705522, 70.484852, 73.153016, 70.837147 
0.032500, 77.325483, 77.282772, 77.147721, 78.683691 
0.035000, 81.128753, 82.832448, 81.374468, 84.789968 
0.037500, 85.306275, 87.091572, 86.021510, 89.588204 
0.040000, 89.667343, 90.373969, 90.882560, 93.401334 
0.042500, 94.050991, 92.949305, 96.572440, 96.483442 
0.045000, 98.084393, 95.268216, 101.195524, 99.325168 
0.047500, 101.453419, 97.703087, 105.147914, 102.312341 
0.050000, 104.053360, 100.410717, 108.315485, 105.600335 
0.052500, 106.093610, 103.228606, 110.908396, 109.018927 
0.055000, 107.622664, 106.145986, 112.985395, 112.546674 
0.057500, 108.915697, 108.917667, 114.832658, 115.925733 
0.060000, 110.228235, 111.314280, 116.714827, 118.916276 
0.062500, 111.728009, 113.191332, 118.801840, 121.370166 
0.065000, 113.371652, 114.612910, 121.045379, 123.355968 
0.067500, 115.001206, 115.754199, 123.274944, 125.060213 
0.070000, 116.580041, 116.666904, 125.450306, 126.536716 
0.072500, 117.983090, 117.490668, 127.440985, 127.929633 
0.075000, 119.110717, 118.337931, 129.144598, 129.352699 
0.077500, 119.992024, 119.191098, 130.595799, 130.780565 
0.080000, 120.664159, 120.025392, 131.827822, 132.190294 
0.082500, 121.093017, 120.885934, 132.807425, 133.625437 
0.085000, 121.345269, 121.716014, 133.603710, 135.024314 
0.087500, 121.513522, 122.433272, 134.313063, 136.298885 
0.090000, 121.690287, 122.955342, 135.029718, 137.363390 
0.092500, 121.922234, 123.245459, 135.799487, 138.180577 
0.095000, 122.176875, 123.345719, 136.587352, 138.794279 
0.097500, 122.380058, 123.339042, 137.313970, 139.291442 
0.100000, 122.500352, 123.265139, 137.945577, 139.712911 
0.102500, 122.523785, 123.146424, 138.467166, 140.081040 
0.105000, 122.448781, 122.992737, 138.877011, 140.404749 
0.107500, 122.273830, 122.813760, 139.172705, 140.693575 
0.110000, 121.973151, 122.643100, 139.328571, 140.980475 
0.112500, 121.567816, 122.467043, 139.366468, 141.249660 
0.115000, 121.098592, 122.252351, 139.328638, 141.465444 
0.117500, 120.612679, 121.959296, 139.263108, 141.586430 
0.120000, 120.141919, 121.563355, 139.201600, 141.587550 
0.122500, 119.692888, 121.065001, 139.149670, 141.469799 
0.125000, 119.239330, 120.497291, 139.078941, 141.268029 
